# This dataset is synthetic and created for academic development/testing. It does NOT represent any real employee, organisation, HR record, or promotion decision.
experience_years,performance_rating,current_grade_encoded,target_grade_encoded,grade_gap,total_skills,average_skill_level,skill_coverage_percentage,mandatory_skill_gap_count,weighted_skill_gap,total_certifications,completed_certifications,certification_completion_rate,mandatory_certification_gap_count,total_projects,completed_projects,lead_projects,project_completion_rate,lead_project_completion_rate,average_project_rating,skill_score,certification_score,experience_score,project_score,performance_score,readiness_score,promotion_success
2.2,3.01,2,3,1,6,2.09,28.88,5,4.1679,0,0,0.714,2,6,6,0,1.0,0.0,4.22,11.55,10.71,5.5,14.0,6.02,47.78,1
0.7,2.54,2,3,1,11,3.0,49.46,4,3.2252,2,2,0.759,0,4,4,1,1.0,0.5,3.49,19.78,11.38,1.75,17.0,5.08,54.99,1
4.1,2.65,1,2,1,2,3.01,64.06,3,2.8013,5,3,0.52,0,6,6,0,1.0,0.0,1.61,25.62,7.8,15.0,14.0,5.3,67.72,0
8.9,2.04,4,5,1,4,3.4,77.58,2,1.1727,4,3,0.746,1,0,0,0,0.0,0.0,3.32,31.03,11.19,13.35,0.0,4.08,59.65,1
8.0,4.08,1,2,1,2,2.57,48.96,4,3.5996,4,3,0.79,0,0,0,0,0.0,0.0,2.52,19.58,11.85,15.0,0.0,8.16,54.59,0
3.1,4.95,1,2,1,5,3.31,92.99,1,0.7251,5,3,0.667,1,6,6,2,1.0,1.0,3.07,37.2,10.01,11.62,20.0,9.9,88.73,1
5.0,4.64,2,3,1,5,2.83,72.13,2,1.4286,0,0,0.672,0,9,9,1,1.0,0.5,4.52,28.85,10.08,12.5,17.0,9.28,77.71,1
1.6,2.2,1,2,1,8,1.42,38.78,3,2.0427,4,3,0.791,0,6,6,0,1.0,0.0,1.8,15.51,11.86,6.0,14.0,4.4,51.77,1
4.0,4.08,1,2,1,4,3.01,97.51,0,0.0,1,1,0.962,0,9,9,0,1.0,0.0,2.93,39.0,14.43,15.0,14.0,8.16,90.59,1
3.6,4.64,1,2,1,3,1.9,67.91,3,2.2799,4,4,0.929,0,8,8,0,1.0,0.0,4.08,27.16,13.94,13.5,14.0,9.28,77.88,1
5.1,3.13,1,2,1,3,1.27,73.7,4,2.2136,4,4,0.951,0,2,2,0,0.667,0.0,3.01,29.48,14.26,15.0,9.34,6.26,74.34,0
0.7,3.58,1,2,1,11,3.14,87.78,0,0.0,4,2,0.614,1,1,1,0,0.333,0.0,2.96,35.11,9.21,2.62,4.66,7.16,58.76,0
6.9,1.89,4,5,1,11,3.49,69.96,2,1.652,2,1,0.708,0,5,5,0,1.0,0.0,4.92,27.98,10.62,10.35,14.0,3.78,66.73,1
4.8,3.71,3,4,1,4,3.53,92.52,0,0.0,3,1,0.41,1,6,6,2,1.0,1.0,3.76,37.01,6.15,9.0,20.0,7.42,79.58,1
4.0,2.65,1,2,1,3,3.57,78.95,2,1.1658,2,1,0.565,2,7,7,2,1.0,1.0,4.15,31.58,8.48,15.0,20.0,5.3,80.36,0
7.7,3.66,2,3,1,2,1.07,64.79,2,1.3631,3,2,0.741,1,5,5,0,1.0,0.0,3.85,25.92,11.12,15.0,14.0,7.32,73.36,1
0.9,2.25,1,2,1,11,1.64,85.76,0,0.0,2,2,0.809,0,9,9,1,1.0,0.5,3.61,34.3,12.14,3.38,17.0,4.5,71.32,1
6.9,3.93,4,5,1,9,4.97,84.73,3,2.5033,2,1,0.547,1,8,8,3,1.0,1.0,4.38,33.89,8.2,10.35,20.0,7.86,80.3,1
6.8,4.32,3,4,1,9,1.95,46.8,5,4.7519,1,1,0.575,2,5,5,1,1.0,0.5,4.83,18.72,8.62,12.75,17.0,8.64,65.73,1
7.4,2.87,4,5,1,4,3.61,96.89,0,0.0,2,1,0.746,1,5,5,2,0.833,1.0,2.32,38.76,11.19,11.1,17.66,5.74,84.45,0
10.4,2.59,4,5,1,8,2.31,71.5,3,2.5146,4,2,0.622,1,0,0,0,0.0,0.0,3.48,28.6,9.33,15.0,0.0,5.18,58.11,1
0.5,1.78,1,2,1,2,3.08,75.97,0,0.0,5,3,0.53,1,7,7,2,1.0,1.0,3.47,30.39,7.95,1.88,20.0,3.56,63.78,0
0.5,3.29,1,2,1,8,2.37,25.27,8,7.8179,0,0,0.811,1,6,6,0,1.0,0.0,3.2,10.11,12.16,1.88,14.0,6.58,44.73,1
2.0,3.03,2,3,1,7,3.56,66.1,5,3.288,1,1,0.71,1,8,8,1,1.0,0.5,4.19,26.44,10.65,5.0,17.0,6.06,65.15,1
0.5,2.26,1,2,1,5,3.14,82.34,2,1.3543,3,2,0.699,2,0,0,0,0.0,0.0,3.68,32.94,10.48,1.88,0.0,4.52,49.82,1
3.6,3.86,3,4,1,9,2.55,78.26,0,0.0,4,3,0.833,1,1,1,0,0.25,0.0,4.85,31.3,12.5,6.75,3.5,7.72,61.77,1
0.5,3.14,1,2,1,8,1.95,66.36,4,2.1693,1,1,0.531,1,6,6,0,1.0,0.0,4.27,26.54,7.97,1.88,14.0,6.28,56.67,1
7.5,2.64,4,5,1,6,3.27,47.19,4,3.5801,1,1,0.645,1,4,4,0,0.8,0.0,4.46,18.88,9.68,11.25,11.2,5.28,56.29,1
8.8,3.06,3,4,1,3,1.79,73.44,0,0.0,0,0,0.649,0,5,5,1,1.0,0.5,2.66,29.38,9.74,15.0,17.0,6.12,77.24,1
3.4,4.36,2,3,1,2,3.43,46.69,4,2.5654,0,0,0.896,0,4,4,0,1.0,0.0,2.94,18.68,13.44,8.5,14.0,8.72,63.34,0
5.4,3.98,4,5,1,11,5.0,89.39,1,0.5909,0,0,0.506,0,6,6,0,1.0,0.0,2.99,35.76,7.59,8.1,14.0,7.96,73.41,1
1.9,3.4,1,2,1,4,4.35,42.81,6,5.9247,4,3,0.824,2,6,6,0,1.0,0.0,4.43,17.12,12.36,7.12,14.0,6.8,57.4,0
4.6,4.0,1,2,1,5,3.72,87.34,2,1.781,5,3,0.61,0,1,1,0,0.5,0.0,2.82,34.94,9.15,15.0,7.0,8.0,74.09,0
5.6,2.57,4,5,1,8,2.91,64.86,2,1.9299,2,2,0.933,0,7,7,2,1.0,1.0,2.84,25.94,14.0,8.4,20.0,5.14,73.48,1
5.7,3.53,4,5,1,4,1.06,91.06,0,0.0,1,0,0.492,2,4,4,0,0.8,0.0,2.72,36.42,7.38,8.55,11.2,7.06,70.61,1
9.4,3.62,4,5,1,5,1.68,57.61,3,2.8594,5,4,0.712,0,5,5,1,0.833,1.0,5.0,23.04,10.68,14.1,17.66,7.24,72.72,1
7.4,3.12,4,5,1,9,4.28,47.82,3,2.2186,1,0,0.481,1,6,6,2,1.0,1.0,3.4,19.13,7.22,11.1,20.0,6.24,63.69,1
3.6,3.85,1,2,1,7,2.21,72.96,3,1.7558,0,0,0.908,0,7,7,0,1.0,0.0,3.87,29.18,13.62,13.5,14.0,7.7,78.0,1
8.0,2.88,4,5,1,8,2.3,84.72,3,1.9903,0,0,0.341,2,3,3,0,0.6,0.0,2.7,33.89,5.12,12.0,8.4,5.76,65.17,0
3.8,3.91,1,2,1,2,2.83,87.71,0,0.0,2,2,0.918,0,0,0,0,0.0,0.0,4.17,35.08,13.77,14.25,0.0,7.82,70.92,0
1.4,3.94,2,3,1,6,1.94,61.46,4,3.4343,4,3,0.656,2,1,1,0,0.333,0.0,2.26,24.58,9.84,3.5,4.66,7.88,50.46,1
8.0,1.17,4,5,1,6,1.77,54.82,4,2.0513,2,1,0.746,1,9,9,3,1.0,1.0,2.81,21.93,11.19,12.0,20.0,2.34,67.46,1
1.5,4.45,1,2,1,8,2.95,54.43,3,1.7131,2,1,0.613,2,2,2,0,0.667,0.0,2.99,21.77,9.2,5.62,9.34,8.9,54.83,0
3.0,1.06,3,4,1,3,2.11,61.79,1,0.8414,2,1,0.301,2,2,2,0,0.4,0.0,3.65,24.72,4.51,5.62,5.6,2.12,42.57,0
2.1,3.01,3,4,1,3,2.26,37.12,4,2.2469,5,3,0.625,0,8,8,3,1.0,1.0,2.94,14.85,9.38,3.94,20.0,6.02,54.19,0
5.7,4.32,2,3,1,9,2.22,66.67,2,1.0483,4,3,0.721,1,2,2,0,0.5,0.0,4.57,26.67,10.82,14.25,7.0,8.64,67.38,1
3.1,3.25,2,3,1,8,3.52,81.18,2,1.1092,3,1,0.322,1,4,4,0,1.0,0.0,3.85,32.47,4.83,7.75,14.0,6.5,65.55,1
1.4,2.33,2,3,1,10,2.77,72.66,2,1.6907,2,2,0.822,0,3,3,0,0.75,0.0,3.02,29.06,12.33,3.5,10.5,4.66,60.05,0
5.8,2.63,3,4,1,4,2.82,71.92,0,0.0,3,3,0.917,0,6,6,0,1.0,0.0,4.2,28.77,13.76,10.88,14.0,5.26,72.67,1
6.8,4.32,2,3,1,11,3.6,73.69,5,2.8658,5,4,0.893,1,5,5,0,1.0,0.0,3.22,29.48,13.4,15.0,14.0,8.64,80.52,1
0.5,1.96,2,3,1,4,2.86,75.92,3,1.8455,3,1,0.359,1,5,5,0,1.0,0.0,3.09,30.37,5.38,1.25,14.0,3.92,54.92,0
0.5,4.4,1,2,1,8,2.72,51.4,4,3.5018,4,2,0.596,0,5,5,2,1.0,1.0,4.13,20.56,8.94,1.88,20.0,8.8,60.18,0
1.7,3.46,2,3,1,3,3.47,71.4,3,1.8005,0,0,0.734,1,8,8,3,1.0,1.0,1.78,28.56,11.01,4.25,20.0,6.92,70.74,1
5.7,2.55,1,2,1,11,3.67,81.03,1,0.5177,5,4,0.741,1,5,5,0,1.0,0.0,4.01,32.41,11.12,15.0,14.0,5.1,77.63,1
2.7,3.03,1,2,1,5,2.85,70.31,3,2.8588,5,4,0.715,1,5,5,2,1.0,1.0,3.0,28.12,10.72,10.12,20.0,6.06,75.02,1
5.9,2.69,2,3,1,10,3.08,40.84,6,5.629,4,1,0.348,2,8,8,2,1.0,1.0,3.0,16.34,5.22,14.75,20.0,5.38,61.69,0
1.1,4.19,2,3,1,5,2.22,65.36,3,1.7772,5,3,0.59,3,0,0,0,0.0,0.0,4.87,26.14,8.85,2.75,0.0,8.38,46.12,1
1.2,4.09,2,3,1,9,2.14,84.5,1,0.6327,3,1,0.481,2,8,8,3,1.0,1.0,3.13,33.8,7.22,3.0,20.0,8.18,72.2,0
5.1,2.12,2,3,1,6,3.77,84.22,1,0.5943,1,0,0.157,2,1,1,0,0.25,0.0,4.17,33.69,2.36,12.75,3.5,4.24,56.54,1
6.1,3.18,3,4,1,2,3.44,88.33,1,0.8598,3,3,0.861,0,3,3,0,0.75,0.0,3.7,35.33,12.92,11.44,10.5,6.36,76.55,0
9.4,2.81,4,5,1,3,3.46,60.41,2,1.25,3,2,0.579,2,0,0,0,0.0,0.0,3.77,24.16,8.68,14.1,0.0,5.62,52.56,0
1.5,4.53,1,2,1,8,3.28,75.39,5,4.8286,0,0,0.938,0,5,5,0,1.0,0.0,3.32,30.16,14.07,5.62,14.0,9.06,72.91,0
8.7,2.42,4,5,1,3,3.05,69.58,0,0.0,1,1,0.885,1,8,8,3,1.0,1.0,3.29,27.83,13.28,13.05,20.0,4.84,79.0,0
8.4,4.78,4,5,1,4,3.7,69.82,0,0.0,1,1,0.613,2,3,3,0,0.5,0.0,4.57,27.93,9.2,12.6,7.0,9.56,66.29,1
