# SYNTHETIC ACADEMIC DATA — Not real HR data. Generated for IRS demonstration and ML training purposes only.
experience_years,performance_rating,skill_coverage_pct,avg_skill_level,mandatory_skill_gap_count,cert_completion_rate,project_completion_rate,lead_project_completion_rate,avg_project_rating,current_grade_encoded,target_grade_encoded,grade_gap,skill_score,cert_score,experience_score,project_score,performance_score,readiness_score,promotion_success
4.6,2.37,77.83,2.86,1,0.627,0.823,0.474,2.9,2,3,1,31.13,9.4,11.5,14.37,4.74,71.14,1
6.6,3.36,52.24,2.63,3,0.859,0.768,0.237,2.86,1,2,1,20.9,12.88,15.0,12.17,6.72,67.67,0
3.9,2.92,80.33,3.84,4,0.716,0.797,0.539,3.47,4,5,1,32.13,10.74,5.85,14.39,5.84,68.95,1
2.8,3.8,66.46,3.29,4,0.738,0.584,0.486,3.49,3,4,1,26.58,11.07,5.25,11.09,7.6,61.59,0
6.9,3.86,17.41,2.35,9,0.763,0.776,0.759,3.13,4,5,1,6.96,11.44,10.35,15.42,7.72,51.89,0
6.7,3.76,45.32,3.04,7,0.886,0.834,0.771,3.67,4,5,1,18.13,13.29,10.05,16.3,7.52,65.29,1
4.0,3.69,67.25,3.38,5,0.703,0.711,0.257,4.14,1,2,1,26.9,10.54,15.0,11.5,7.38,71.32,0
2.6,4.76,60.53,4.72,3,0.822,0.727,0.717,4.33,1,2,1,24.21,12.33,9.75,14.48,9.52,70.29,1
0.5,2.65,83.56,3.79,2,0.855,0.834,0.337,4.49,2,3,1,33.42,12.82,1.25,13.7,5.3,66.49,0
3.3,3.46,36.58,4.21,5,0.472,0.971,0.319,2.58,1,2,1,14.63,7.08,12.38,15.51,6.92,56.52,0
4.6,4.41,90.93,2.39,0,0.925,0.94,0.775,2.69,3,4,1,36.37,13.88,8.62,17.81,8.82,85.5,1
5.2,4.51,75.87,2.48,2,0.43,0.961,0.898,3.3,1,2,1,30.35,6.45,15.0,18.84,9.02,79.66,1
6.4,2.36,58.79,2.76,3,0.868,0.662,0.639,3.56,4,5,1,23.52,13.02,9.6,13.1,4.72,63.96,1
4.4,3.25,81.69,2.86,1,0.663,0.755,0.662,3.33,3,4,1,32.68,9.94,8.25,14.54,6.5,71.91,1
5.4,4.59,85.36,1.99,4,0.948,0.48,0.213,3.11,2,3,1,34.14,14.22,13.5,8.0,9.18,79.04,1
9.9,3.91,69.07,4.27,4,0.645,0.65,0.265,3.29,4,5,1,27.63,9.68,14.85,10.69,7.82,70.67,0
3.1,3.66,89.93,3.88,2,0.678,0.793,0.271,3.84,1,2,1,35.97,10.17,11.62,12.73,7.32,77.81,1
0.5,3.33,64.45,2.69,4,0.871,0.836,0.591,2.57,1,2,1,25.78,13.06,1.88,15.25,6.66,62.63,0
9.3,3.19,63.59,3.64,3,0.675,0.617,0.396,5.0,4,5,1,25.44,10.12,13.95,11.01,6.38,66.9,0
5.4,3.73,93.3,3.22,1,0.855,0.63,0.237,3.51,4,5,1,37.32,12.82,8.1,10.24,7.46,75.94,1
8.6,3.3,90.22,3.72,1,0.953,0.785,0.491,4.24,4,5,1,36.09,14.3,12.9,13.94,6.6,83.83,1
4.4,3.47,94.6,1.66,0,0.969,0.677,0.472,3.09,4,5,1,37.84,14.54,6.6,12.31,6.94,78.23,1
3.1,3.56,52.04,2.85,4,0.822,0.605,0.488,3.9,1,2,1,20.82,12.33,11.62,11.4,7.12,63.29,0
6.0,2.96,83.76,2.94,2,0.424,0.836,0.493,3.57,4,5,1,33.5,6.36,9.0,14.66,5.92,69.44,0
0.5,3.93,82.62,3.62,2,0.632,0.762,0.398,4.1,1,2,1,33.05,9.48,1.88,13.06,7.86,65.33,1
5.8,5.0,62.25,2.37,3,0.237,0.744,0.57,3.36,2,3,1,24.9,3.56,14.5,13.84,10.0,66.8,1
8.6,2.08,65.57,0.5,5,0.682,0.86,0.67,4.59,4,5,1,26.23,10.23,12.9,16.06,4.16,69.58,1
0.5,3.76,52.99,1.92,4,0.731,0.593,0.29,2.46,1,2,1,21.2,10.96,1.88,10.04,7.52,51.6,0
9.6,2.89,73.47,2.94,2,0.122,0.688,0.216,4.16,3,4,1,29.39,1.83,15.0,10.93,5.78,62.93,0
4.9,3.96,78.95,3.06,1,0.405,0.694,0.668,3.58,3,4,1,31.58,6.08,9.19,13.72,7.92,68.49,0
4.1,3.54,74.83,4.68,4,0.75,0.915,0.758,2.79,2,3,1,29.93,11.25,10.25,17.36,7.08,75.87,1
4.7,4.11,74.97,3.58,2,0.421,0.588,0.259,4.87,2,3,1,29.99,6.32,11.75,9.79,8.22,66.07,1
2.5,4.44,58.01,3.08,4,0.722,0.856,0.596,4.79,2,3,1,23.2,10.83,6.25,15.56,8.88,64.72,0
7.2,3.65,65.06,2.97,2,0.721,0.677,0.485,2.05,3,4,1,26.02,10.82,13.5,12.39,7.3,70.03,1
2.7,4.41,69.89,4.1,4,0.714,0.941,0.365,3.62,2,3,1,27.96,10.71,6.75,15.36,8.82,69.6,1
3.0,1.62,67.46,2.41,4,0.692,0.559,0.243,3.99,2,3,1,26.98,10.38,7.5,9.28,3.24,57.38,0
5.4,4.77,75.11,2.86,2,0.894,0.753,0.73,3.81,1,2,1,30.04,13.41,15.0,14.92,9.54,82.91,1
1.4,3.8,87.69,1.91,3,0.56,0.576,0.378,4.56,2,3,1,35.08,8.4,3.5,10.33,7.6,64.91,0
0.5,4.36,64.1,4.42,1,0.902,0.921,0.4,4.42,1,2,1,25.64,13.53,1.88,15.29,8.72,65.06,0
6.0,2.52,91.47,3.39,0,0.48,0.411,0.353,3.69,1,2,1,36.59,7.2,15.0,7.87,5.04,71.7,1
10.4,2.84,92.35,2.29,1,0.855,0.935,0.588,5.0,2,3,1,36.94,12.82,15.0,16.62,5.68,87.06,1
3.0,3.62,56.3,2.89,5,0.712,0.724,0.541,4.16,2,3,1,22.52,10.68,7.5,13.38,7.24,61.32,0
0.5,3.49,47.7,3.51,6,0.448,0.787,0.4,3.25,2,3,1,19.08,6.72,1.25,13.42,6.98,47.45,0
3.2,3.73,79.95,2.75,2,0.306,0.682,0.232,3.11,2,3,1,31.98,4.59,8.0,10.94,7.46,62.97,1
5.3,4.37,73.3,2.47,2,0.82,0.367,0.152,4.37,3,4,1,29.32,12.3,9.94,6.05,8.74,66.35,1
7.5,2.09,84.89,2.35,2,0.64,0.698,0.685,2.94,4,5,1,33.96,9.6,11.25,13.88,4.18,72.87,1
0.5,4.28,80.95,3.34,2,0.647,0.774,0.57,3.21,1,2,1,32.38,9.7,1.88,14.26,8.56,66.78,0
9.4,3.51,85.78,2.64,4,0.743,0.395,0.348,3.33,4,5,1,34.31,11.14,14.1,7.62,7.02,74.19,1
9.3,3.34,73.01,2.55,2,0.701,0.842,0.265,3.75,4,5,1,29.2,10.51,13.95,13.38,6.68,73.72,0
0.5,2.32,81.44,1.66,2,0.853,0.933,0.78,3.36,1,2,1,32.58,12.8,1.88,17.74,4.64,69.64,1
5.7,3.9,56.15,3.08,5,0.734,0.908,0.581,2.58,2,3,1,22.46,11.01,14.25,16.2,7.8,71.72,1
13.1,1.57,70.46,2.82,2,0.893,0.448,0.343,4.31,4,5,1,28.18,13.4,15.0,8.33,3.14,68.05,1
6.4,4.02,71.94,2.68,2,0.487,0.64,0.352,3.22,3,4,1,28.78,7.3,12.0,11.07,8.04,67.19,0
5.2,2.31,77.37,3.2,5,0.619,0.783,0.575,4.91,3,4,1,30.95,9.28,9.75,14.41,4.62,69.01,1
5.6,3.54,43.25,3.75,7,0.594,0.783,0.254,3.71,3,4,1,17.3,8.91,10.5,12.49,7.08,56.28,0
3.5,3.4,52.3,3.7,6,0.426,0.756,0.251,4.39,1,2,1,20.92,6.39,13.12,12.09,6.8,59.32,0
0.5,4.44,70.48,3.55,1,0.921,0.419,0.36,3.94,2,3,1,28.19,13.82,1.25,8.03,8.88,60.17,0
4.4,3.36,68.93,2.76,4,0.673,0.64,0.248,4.42,2,3,1,27.57,10.1,11.0,10.45,6.72,65.84,0
5.0,2.94,66.42,2.43,2,0.528,0.556,0.172,3.9,3,4,1,26.57,7.92,9.38,8.82,5.88,58.57,0
6.6,3.09,70.23,1.96,6,0.468,0.241,0.226,3.66,1,2,1,28.09,7.02,15.0,4.73,6.18,61.02,1
1.6,4.52,57.24,2.41,5,0.685,0.886,0.43,4.27,1,2,1,22.9,10.28,6.0,14.98,9.04,63.2,0
6.2,3.93,74.55,3.02,1,0.26,0.636,0.45,5.0,1,2,1,29.82,3.9,15.0,11.6,7.86,68.18,0
0.5,3.19,86.15,2.21,2,0.633,0.948,0.841,3.31,1,2,1,34.46,9.5,1.88,18.32,6.38,70.54,1
3.5,3.31,78.62,3.1,2,0.516,0.907,0.746,4.06,1,2,1,31.45,7.74,13.12,17.17,6.62,76.1,1
2.8,2.25,48.6,2.03,6,0.594,0.66,0.22,3.5,1,2,1,19.44,8.91,10.5,10.56,4.5,53.91,0
3.8,3.81,93.51,1.34,0,0.453,0.827,0.573,3.85,3,4,1,37.4,6.8,7.12,15.02,7.62,73.96,1
2.4,2.09,93.01,3.82,1,0.836,0.706,0.48,3.53,1,2,1,37.2,12.54,9.0,12.76,4.18,75.68,1
5.0,4.1,87.81,2.53,2,0.791,0.526,0.287,1.99,1,2,1,35.12,11.86,15.0,9.09,8.2,79.27,1
3.2,3.6,84.73,2.16,1,0.793,0.808,0.669,3.36,2,3,1,33.89,11.9,8.0,15.33,7.2,76.32,1
3.8,5.0,83.86,1.91,3,0.583,0.702,0.684,4.2,4,5,1,33.54,8.74,5.7,13.93,10.0,71.91,1
4.0,2.62,51.04,3.42,4,0.659,0.782,0.315,2.96,2,3,1,20.42,9.88,10.0,12.84,5.24,58.38,1
0.5,3.42,85.57,4.37,0,0.382,0.571,0.229,4.14,1,2,1,34.23,5.73,1.88,9.37,6.84,58.05,0
5.1,4.94,83.65,2.6,2,0.692,0.359,0.292,3.63,3,4,1,33.46,10.38,9.56,6.78,9.88,70.06,0
1.8,4.45,87.25,2.78,0,0.966,0.791,0.489,3.37,1,2,1,34.9,14.49,6.75,14.01,8.9,79.05,1
1.7,2.94,60.43,4.07,3,0.738,0.777,0.666,4.13,3,4,1,24.17,11.07,3.19,14.87,5.88,59.18,1
2.0,3.68,80.15,1.19,2,0.924,0.72,0.287,3.98,3,4,1,32.06,13.86,3.75,11.8,7.36,68.83,1
3.2,3.5,62.78,4.97,3,0.288,0.887,0.291,3.79,1,2,1,25.11,4.32,12.0,14.16,7.0,62.59,0
4.7,3.73,90.25,5.0,0,0.464,0.834,0.658,4.21,3,4,1,36.1,6.96,8.81,15.62,7.46,74.95,1
0.5,2.94,32.75,0.29,6,0.752,0.429,0.427,3.64,2,3,1,13.1,11.28,1.25,8.57,5.88,40.08,0
6.0,3.43,73.34,2.9,3,0.516,0.628,0.23,2.35,2,3,1,29.34,7.74,15.0,10.17,6.86,69.11,1
2.7,2.22,91.78,2.28,2,0.86,0.533,0.482,3.24,1,2,1,36.71,12.9,10.12,10.35,4.44,74.52,1
6.2,3.61,60.17,2.74,4,0.83,0.417,0.238,2.24,4,5,1,24.07,12.45,9.3,7.27,7.22,60.31,0
4.7,3.86,92.18,2.58,1,0.744,0.593,0.185,3.96,4,5,1,36.87,11.16,7.05,9.41,7.72,72.21,1
8.1,3.32,75.94,3.81,1,0.615,0.826,0.543,4.13,3,4,1,30.38,9.22,15.0,14.82,6.64,76.06,1
4.9,2.21,76.72,2.89,3,0.57,0.428,0.212,4.16,2,3,1,30.69,8.55,12.25,7.26,4.42,63.17,0
8.0,4.29,87.88,2.09,0,0.607,0.971,0.763,3.84,1,2,1,35.15,9.1,15.0,18.17,8.58,86.0,1
7.1,3.79,36.17,2.83,7,0.828,0.553,0.277,4.18,3,4,1,14.47,12.42,13.31,9.4,7.58,57.18,0
3.0,2.92,77.51,3.51,4,0.247,0.731,0.466,2.4,1,2,1,31.0,3.7,11.25,13.03,5.84,64.82,0
5.6,3.28,70.86,1.82,4,0.499,0.536,0.236,3.42,3,4,1,28.34,7.48,10.5,8.92,6.56,61.8,1
6.0,2.3,86.84,1.35,1,0.372,0.816,0.718,2.51,2,3,1,34.74,5.58,15.0,15.73,4.6,75.65,1
7.6,2.68,54.36,4.99,2,0.588,0.646,0.612,3.25,3,4,1,21.74,8.82,14.25,12.72,5.36,62.89,1
7.1,3.07,62.13,2.36,2,0.497,0.583,0.34,4.63,2,3,1,24.85,7.46,15.0,10.2,6.14,63.65,1
4.7,4.48,67.48,2.86,3,0.716,0.607,0.373,4.27,3,4,1,26.99,10.74,8.81,10.74,8.96,66.24,0
0.9,2.99,57.53,2.6,5,0.563,0.619,0.611,3.96,1,2,1,23.01,8.44,3.38,12.33,5.98,53.14,0
4.8,4.01,69.63,3.55,3,0.592,0.713,0.285,3.37,3,4,1,27.85,8.88,9.0,11.69,8.02,65.44,1
6.0,3.07,70.81,4.77,0,0.861,0.907,0.785,2.8,2,3,1,28.32,12.92,15.0,17.41,6.14,79.79,1
